name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Recreation and Parks Properties
Silver Terrace Clubhouse,502295565233411923,restroom,0,0,0,0,37.732517086819065,-122.40239900743153,1700 Silver Ave,San Francisco,CA,94124,Silver Terrace Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.402399007 37.732517087),10,Bayview Hunters Point,2024/08/13 04:58:33 PM,2024/10/10 10:40:59 AM,87,2,9,1,111
Duboce Park - Drinking Fountain/Cooler,2327016124138374279,drinking_water,1,0,0,0,37.76940612,-122.43356965999999,50 Scott St,San Francisco,CA,94117,Duboce Park,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.433569661 37.769406116),8,Haight Ashbury,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,28,7,5,3,159
McCoppin Square - Drinking Fountain/Cooler,6559692620526371061,drinking_water,1,0,0,0,37.743363849999994,-122.48072332,2354 24th Ave,San Francisco,CA,94116,McCoppin Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.480723318 37.74336385),4,Sunset/Parkside,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,40,10,7,35,139
Betty Ann Ong Rec Center,5531017763005755967,restroom,0,0,0,0,37.79427381465304,-122.41169060223633,1101 Washington St,San Francisco,CA,94108,Betty Ann Ong Chinese Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.411690602 37.794273815),3,Nob Hill,2024/08/13 05:16:30 PM,2024/10/10 10:40:59 AM,16,6,3,21,155
John McLaren Park - Drinking Fountain/Cooler,711898152290323530,drinking_water,1,0,0,0,37.723254839999996,-122.42086563,,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.420865626 37.723254836),11,McLaren Park,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,73,9,2,19,7
Kezar Turf Drinking fountain,4253351926956032222,drinking_water,1,1,0,0,37.7672486,-122.45680307,,San Francisco,CA,,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.456803067 37.767248599),5,Golden Gate Park,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,9,7,11,12,229
Restrooms,3716887207824175655,restroom,0,0,0,0,37.72556145806361,-122.39303328506477,5701 3rd St,San Francisco,CA,94124,Bayview K.C. Jones Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.393033285 37.725561458),10,Bayview Hunters Point,2024/08/13 04:58:33 PM,2024/10/10 10:40:59 AM,86,2,9,1,77
West Portal Clubhouse,1152567663852889285,restroom,0,0,0,0,37.74168341043762,-122.4653079501994,131 Lenox Way,San Francisco,CA,94127,West Portal Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.46530795 37.74168341),7,West of Twin Peaks,2024/08/13 04:58:33 PM,2024/10/10 10:40:59 AM,46,10,8,41,223
Drinking Fountain,5931616453319089424,drinking_water,1,0,0,0,37.76632514,-122.4665871,,San Francisco,CA,,Golden Gate Park - Section 3,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.466587099 37.76632514),7,Golden Gate Park,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,9,8,11,12,231
Kezar Turf Drinking fountain,5784826082152239973,drinking_water,1,0,0,0,37.7669947,-122.45742194,,San Francisco,CA,,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.457421938 37.766994701),5,Golden Gate Park,2024/07/23 12:28:50 PM,2024/10/10 10:40:59 AM,9,7,11,12,229
